text,airline_sentiment,airline
"@SkyNova lost my luggage again, this is the third time",negative,SkyNova
"@SkyNova cancelled my flight last minute, ruined my trip",negative,SkyNova
"3 hour delay on @SkyNova with zero updates, unacceptable",negative,SkyNova
@SkyNova confirmed my seat assignment,neutral,SkyNova
"Rude staff at the @SkyNova counter today, not okay",negative,SkyNova
"@SkyNova lost my luggage again, this is the third time",negative,SkyNova
"@SkyNova overbooked my flight and bumped me, furious",negative,SkyNova
@SkyNova really came through with the extra legroom seat,positive,SkyNova
Anyone know @SkyNova's baggage policy for connecting flights?,neutral,SkyNova
@SkyNova flight number changed on my itinerary,neutral,SkyNova
Question for @SkyNova: what's the carry-on size limit?,neutral,SkyNova
"@SkyNova overbooked my flight and bumped me, furious",negative,SkyNova
"Flying @SkyNova tomorrow morning, wonder how it'll be",neutral,SkyNova
"Just landed and @SkyNova got me here early, love it!",positive,SkyNova
Paid for @SkyNova wifi and it didn't even work,negative,SkyNova
"@SkyNova app made rebooking so easy, impressed",positive,SkyNova
@SkyNova really came through with the extra legroom seat,positive,SkyNova
"@SkyNova overbooked my flight and bumped me, furious",negative,SkyNova
@SkyNova announced a new route today,neutral,SkyNova
Shoutout to @SkyNova for the fast check-in today,positive,SkyNova
@SkyNova really came through with the extra legroom seat,positive,SkyNova
"@SkyNova lost my luggage again, this is the third time",negative,SkyNova
@SkyNova confirmed my seat assignment,neutral,SkyNova
"Just landed and @SkyNova got me here early, love it!",positive,SkyNova
"Worst legroom ever on @SkyNova, my knees are still sore",negative,SkyNova
@SkyNova really came through with the extra legroom seat,positive,SkyNova
@SkyNova confirmed my seat assignment,neutral,SkyNova
"@SkyNova crew was so kind today, made my trip so much better",positive,SkyNova
@SkyNova just sent me my boarding pass,neutral,SkyNova
"Worst legroom ever on @SkyNova, my knees are still sore",negative,SkyNova
"Worst legroom ever on @SkyNova, my knees are still sore",negative,SkyNova
Anyone know @SkyNova's baggage policy for connecting flights?,neutral,SkyNova
"Checked in for my @SkyNova flight, gate info pending",neutral,SkyNova
"Just landed and @SkyNova got me here early, love it!",positive,SkyNova
@SkyNova really came through with the extra legroom seat,positive,SkyNova
"Best in-flight snacks ever on @SkyNova, highly recommend",positive,SkyNova
"@SkyNova crew was so kind today, made my trip so much better",positive,SkyNova
@SkyNova customer service put me on hold for an hour,negative,SkyNova
"@SkyNova upgraded me for free, what a great surprise",positive,SkyNova
@SkyNova announced a new route today,neutral,SkyNova
Anyone know @SkyNova's baggage policy for connecting flights?,neutral,SkyNova
@SkyNova confirmed my seat assignment,neutral,SkyNova
"@SkyNova overbooked my flight and bumped me, furious",negative,SkyNova
"@SkyNova upgraded me for free, what a great surprise",positive,SkyNova
"@SkyNova upgraded me for free, what a great surprise",positive,SkyNova
@SkyNova just sent me my boarding pass,neutral,SkyNova
@SkyNova confirmed my seat assignment,neutral,SkyNova
"3 hour delay on @SkyNova with zero updates, unacceptable",negative,SkyNova
"Smooth flight, comfy seats, thank you @SkyNova!",positive,SkyNova
@SkyNova flight number changed on my itinerary,neutral,SkyNova
@SkyNova really came through with the extra legroom seat,positive,SkyNova
"Checked in for my @SkyNova flight, gate info pending",neutral,SkyNova
@SkyNova just sent me my boarding pass,neutral,SkyNova
@SkyNova customer service put me on hold for an hour,negative,SkyNova
@SkyNova flight number changed on my itinerary,neutral,SkyNova
"@SkyNova overbooked my flight and bumped me, furious",negative,SkyNova
"@SkyNova app made rebooking so easy, impressed",positive,SkyNova
"@SkyNova overbooked my flight and bumped me, furious",negative,SkyNova
@SkyNova just sent me my boarding pass,neutral,SkyNova
Paid for @SkyNova wifi and it didn't even work,negative,SkyNova
Paid for @SkyNova wifi and it didn't even work,negative,SkyNova
"@SkyNova overbooked my flight and bumped me, furious",negative,SkyNova
@SkyNova customer service put me on hold for an hour,negative,SkyNova
Paid for @SkyNova wifi and it didn't even work,negative,SkyNova
Paid for @SkyNova wifi and it didn't even work,negative,SkyNova
Anyone know @SkyNova's baggage policy for connecting flights?,neutral,SkyNova
"Just landed and @SkyNova got me here early, love it!",positive,SkyNova
"@SkyNova cancelled my flight last minute, ruined my trip",negative,SkyNova
"@SkyNova crew was so kind today, made my trip so much better",positive,SkyNova
Question for @SkyNova: what's the carry-on size limit?,neutral,SkyNova
@SkyNova confirmed my seat assignment,neutral,SkyNova
"Just landed and @SkyNova got me here early, love it!",positive,SkyNova
"@SkyNova cancelled my flight last minute, ruined my trip",negative,SkyNova
@SkyNova customer service put me on hold for an hour,negative,SkyNova
"Just landed and @SkyNova got me here early, love it!",positive,SkyNova
@SkyNova customer service put me on hold for an hour,negative,SkyNova
@SkyNova confirmed my seat assignment,neutral,SkyNova
"@SkyNova upgraded me for free, what a great surprise",positive,SkyNova
"@SkyNova upgraded me for free, what a great surprise",positive,SkyNova
"@SkyNova app made rebooking so easy, impressed",positive,SkyNova
"Rude staff at the @SkyNova counter today, not okay",negative,SkyNova
@SkyNova really came through with the extra legroom seat,positive,SkyNova
@SkyNova announced a new route today,neutral,SkyNova
"Rude staff at the @SkyNova counter today, not okay",negative,SkyNova
"@SkyNova app made rebooking so easy, impressed",positive,SkyNova
@SkyNova customer service put me on hold for an hour,negative,SkyNova
Anyone know @SkyNova's baggage policy for connecting flights?,neutral,SkyNova
@SkyNova announced a new route today,neutral,SkyNova
"@SkyNova cancelled my flight last minute, ruined my trip",negative,SkyNova
@SkyNova flight number changed on my itinerary,neutral,SkyNova
Anyone know @SkyNova's baggage policy for connecting flights?,neutral,SkyNova
Shoutout to @SkyNova for the fast check-in today,positive,SkyNova
Shoutout to @SkyNova for the fast check-in today,positive,SkyNova
"@SkyNova upgraded me for free, what a great surprise",positive,SkyNova
Anyone know @SkyNova's baggage policy for connecting flights?,neutral,SkyNova
"@SkyNova overbooked my flight and bumped me, furious",negative,SkyNova
"Just landed and @SkyNova got me here early, love it!",positive,SkyNova
