text,airline_sentiment,airline
@virginamerica awesome deals DAL-AUS for only $39 each way! https://t.co/xCVQXYkg49,positive,Virgin America
@united Was able to send the DM. All good now.,positive,United
@united Our vacation's going to be ruined w/ 3 days of rain. : ( The change fee for 2 of us is nearly cost of original flight. Can you help?,neutral,United
@united its funny how none of ur tweets back are helpful what I want is to read 'ya we'll change that so our customers get better service',negative,United
@united thank YOU for your kindness. Your agents went above &amp; beyond to get my stranded family home.,positive,United
@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,positive,Virgin America
@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,neutral,Virgin America
@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,neutral,Virgin America
@united Do we know why UA5282 is delayed x2)? This is getting crazy. I've already had 2 overnight delays. #UnitedAirlines,negative,United
@VirginAmerica shares rise on Q4 financial results - USA TODAY http://t.co/lFS4PEFE6y,neutral,Virgin America
@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;),positive,Virgin America
"@united flight arrives 30 minutes early, but then have we to wait for an hour for our bags.",negative,United
“@VirginAmerica: @KarinSLee Of course. Have fun celebrating!” Thanks! Happy Chinese New Year!,positive,Virgin America
@united It's a shame choosing #United may be the difference between reuniting with aging friends and never seeing them again #PoorService,negative,United
@VirginAmerica weather delays &gt; next few weeks ;) #JFK #BOS #DCA,neutral,Virgin America
@united it was delivered! Thank you for making sure it arrived at my doorstep!,positive,United
@VirginAmerica omg omg😍😍 nonstop Dallas to Austin on virgin✨😱✈️,positive,Virgin America
@united thank you!,positive,United
@VirginAmerica any plans to start flying direct from DAL to LAS?,neutral,Virgin America
"@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G",neutral,Virgin America
"@united: I don't care that a @thehipmunk link showed me a ""wrong"" price on your site—it's your site &amp; responsibility to ensure correctness.",negative,United
"@United will not have to honor absurdly low mistake fares.
http://t.co/2Z3Jv73IlW vía @usatoday",neutral,United
@united you are one great airline ❤️,positive,United
"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",positive,Virgin America
@VirginAmerica a brilliant brisk am in Boston in cue for vx363 http://t.co/rMZNIVGmg6,neutral,Virgin America
@united and was told that its been the case for weeks but is still not resolved.,negative,United
@VirginAmerica would love to do more for virgin just like I do for @GoPro,positive,Virgin America
@united thanks,positive,United
@united I just booked a flight for (2). When I view my reservation it has MI connected to First name. Is this a problem? can it be changed?,neutral,United
@VirginAmerica Giants and Virgin America. A match made in heaven.,positive,Virgin America
"@united @FlyEIA yes, they said it took more than an hour!",negative,United
@united flying gla-mco in a few weeks. How long do we have to be at airport for before departure for both international and domestic? Ta,neutral,United
@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,negative,Virgin America
@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,negative,Virgin America
"@united despite shaky connections, looks like I'll get home tonight. Great job, @united - was touch and go for a while..",positive,United
@VirginAmerica when can I book my flight to Hawaii??,neutral,Virgin America
@united YOU GUYS ARE HORRIBLE.,negative,United
@VirginAmerica Grouping Virgin in with the others now. BOS weather has exposed their actual Cus Serv model. Never Flight Booking Problems with Virgin again!,negative,Virgin America
"@united Hopefully my baggage fees will be waived tomorrow when I actually get on a flight, as well as compensation for my hotel room",negative,United
@united When will email address/username sign-on be available? It's been a while.,negative,United
@united Why have you never held a plane for me? #HourDelay #MultipleDoorOpeningAndClosing #DangerOfGettingSnowedIn,negative,United
@united how does it get Cancelled Flightled 10 hours before take off?,negative,United
"@VirginAmerica , am I dreaming? Did you really just open up a route between Dallas and Austin?! And does this mean Houston might be next?",positive,Virgin America
@united your helpful agents in Club helped.  I am just out baggage fees and a night of my life.stop doing business with @SilverAirways,negative,United
@united My credit card was charged on the transaction when I was told it would not be. If the charge goes through I will be contacting you.,negative,United
@united That's real dedication &amp; concern. Your apologies don't fix the issue nor any of the miserable issues I've had over the past 6 mos.,negative,United
@United I'd like to thank and recognize Terri P at Dulles for going out of her way to get me back on my Raleigh flight,positive,United
"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",positive,Virgin America
"@united I send you an urgent message via eservice@united.com.  BG0KWM   Narayanan. Please respond ASAP. Also, NO local United Tel # @ KUL",neutral,United
@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗,positive,Virgin America
@VirginAmerica can u help this 👸 @FreyaBevan_Fund needs urgent treatment in🇺🇸2y old battling cancer could u help with flights 💗#freyasfund,neutral,Virgin America
@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,neutral,Virgin America
@VirginAmerica got it. All set - Thanks!,positive,Virgin America
@united we're still waiting to find out your rep is working hard - most upset about having to wait to tomorrow pm to get to mammoth,negative,United
"@virginamerica Well, I didn't…but NOW I DO! :-D",positive,Virgin America
"@united captain ""on behalf of the front office, welcome on board."".... Never heard that before. I laughed...hard.  #funnycaptain",positive,United
"@united SF crew lack a lot of customer service, LAX employees are a lot better. Wonder why...",negative,United
"@united you Cancelled Flight my flight. I wait in line to get rebooked, when I'm at the front you make me go to another gate and I lose my place.",negative,United
@united I hope so too,neutral,United
@united wont transfer flight ticket to accompany an 11 yr old who's active military mom had to have emergency brain surgery? WOW!!,negative,United
@VirginAmerica wifi AND better seating.,positive,Virgin America
@united Everyone around us is sitting with their friends and family members. They booked their tickets in October and December. We bought,negative,United
